"","kraj","obmocje","populacija","lon","lat"
"1032","Kovk","HRASTNIK",104,15.1082289,46.1297658
"1033","Kristandol","HRASTNIK",30,15.1297994,46.1481334
"1034","Krnice","HRASTNIK",131,15.1113206,46.1188972
"1035","Marno","HRASTNIK",198,15.140298,46.1431417
"1036","Plesko","HRASTNIK",38,15.070679,46.1440886
"1037","Podkraj","HRASTNIK",377,15.0910365,46.1217899
"1038","Prapretno pri Hrastniku - del","HRASTNIK",183,15.0717913,46.1326425
"1039","Studence","HRASTNIK",78,15.0801338,46.1515032
"1040","Savna Pec","HRASTNIK",100,15.1241632,46.1123084
"1041","Turje","HRASTNIK",268,15.1508284,46.1300905
"1042","Unicno","HRASTNIK",14,15.1434292,46.1493925
"1043","Artvize","HRPELJE - KOZINA",50,14.0270842,45.6128457
"1044","Bac pri Materiji","HRPELJE - KOZINA",113,14.0021744,45.5803229
"1045","Beka","HRPELJE - KOZINA",18,13.8936599,45.5991429
"1046","Brezovica","HRPELJE - KOZINA",83,14.0030547,45.6018125
"1047","Brezovo Brdo","HRPELJE - KOZINA",27,14.0866499,45.5773489
"1048","Golac","HRPELJE - KOZINA",72,14.0633735,45.5148274
"1049","Gradisce pri Materiji","HRPELJE - KOZINA",138,14.0613987,45.5524242
"1050","Gradisica","HRPELJE - KOZINA",31,14.012364,45.5986453
"1051","Hoticna","HRPELJE - KOZINA",70,14.0317948,45.5780808
"1052","Hrpelje","HRPELJE - KOZINA",832,13.9466058,45.6056348
"1053","Javorje","HRPELJE - KOZINA",139,14.1006226,45.5545866
"1054","Klanec pri Kozini","HRPELJE - KOZINA",129,13.9250133,45.5934472
"1055","Kovcice","HRPELJE - KOZINA",48,14.0725454,45.5739194
"1056","Kozina","HRPELJE - KOZINA",599,13.9371957,45.6092797
"1057","Krvavi Potok","HRPELJE - KOZINA",84,13.9095203,45.619008
"1058","Markovscina","HRPELJE - KOZINA",117,14.0351008,45.5617288
"1059","Materija","HRPELJE - KOZINA",57,13.9962393,45.5803407
"1060","Mihele","HRPELJE - KOZINA",30,13.9066424,45.6145048
"1061","Mrse","HRPELJE - KOZINA",27,14.043491,45.586168
"1062","Nasirec","HRPELJE - KOZINA",66,13.9118086,45.6148525
"1063","Obrov","HRPELJE - KOZINA",205,14.0866721,45.5425337
"1064","Ocizla","HRPELJE - KOZINA",140,13.9079392,45.5903383
"1065","Odolina","HRPELJE - KOZINA",0,14.0279582,45.59418
"1066","Orehek pri Materiji","HRPELJE - KOZINA",14,14.0617644,45.5836835
"1067","Petrinje","HRPELJE - KOZINA",48,13.9073479,45.5748165
"1068","Poljane pri Podgradu","HRPELJE - KOZINA",8,14.0977859,45.5057419
"1069","Povzane","HRPELJE - KOZINA",106,14.004806,45.5737794
"1070","Presnica","HRPELJE - KOZINA",170,13.9385336,45.5715196
"1071","Ritomece","HRPELJE - KOZINA",50,14.0682845,45.558836
"1072","Rodik","HRPELJE - KOZINA",323,13.9801345,45.6246867
"1073","Rozice","HRPELJE - KOZINA",60,13.9909592,45.5882336
"1074","Skadanscina","HRPELJE - KOZINA",32,14.0093953,45.5481364
"1075","Slivje","HRPELJE - KOZINA",103,14.0472918,45.5716348
"1076","Slope","HRPELJE - KOZINA",74,13.9876238,45.6133855
"1077","Tatre","HRPELJE - KOZINA",48,14.0858908,45.5977927
"1078","Tublje pri Hrpeljah","HRPELJE - KOZINA",134,13.9742791,45.5959779
"1079","Velike Loce","HRPELJE - KOZINA",35,14.0572816,45.566585
"1080","Vrhpolje","HRPELJE - KOZINA",73,13.9304984,45.6279625
"1081","Ostrovica","HRPELJE - KOZINA",13,14.049091,45.6105647
"1082","Cekovnik","IDRIJA",131,14.0022356,45.9782904
"1083","Crni Vrh","IDRIJA",675,14.0439596,45.9265214
"1084","Dole","IDRIJA",138,14.0961799,45.9892472
"1085","Godovic","IDRIJA",745,14.092265,45.9575215
"1086","Gore","IDRIJA",118,14.05723,46.0033071
"1087","Gorenja Kanomlja","IDRIJA",138,13.9164847,46.0517882
"1088","Gorenji Vrsnik","IDRIJA",122,14.0902575,46.0247317
"1089","Govejk","IDRIJA",82,14.0701134,46.0276698
"1090","Idrija","IDRIJA",5905,14.0278459,46.0029454
"1091","Idrijska Bela","IDRIJA",74,13.98898,45.9680114
"1092","Idrijske Krnice","IDRIJA",145,13.9787282,46.0509193
"1093","Idrijski Log","IDRIJA",83,14.0373675,45.961401
"1094","Idrsek","IDRIJA",40,14.0588814,46.0128231
"1095","Javornik","IDRIJA",1,14.0750189,45.8936313
"1096","Jelicni Vrh","IDRIJA",120,14.0714489,45.9787248
"1097","Kanji Dol","IDRIJA",11,14.0486497,45.8997416
"1098","Korita","IDRIJA",24,14.0752328,46.0434484
"1099","Ledine","IDRIJA",92,14.0544472,46.0417551
"1100","Ledinske Krnice","IDRIJA",71,14.0635524,46.0395646
"1101","Lome","IDRIJA",112,14.0780601,45.9180741
"1102","Masore","IDRIJA",61,13.9684304,46.0736418
"1103","Mrzli Log","IDRIJA",24,14.0329349,45.9197466
"1104","Mrzli Vrh","IDRIJA",52,14.053451,46.0562811
"1105","Pecnik","IDRIJA",37,14.0491118,46.0372804
"1106","Potok","IDRIJA",28,14.1266477,45.9800914
"1107","Predgrize","IDRIJA",164,14.0606681,45.9308634
"1108","Spodnja Idrija","IDRIJA",1448,14.025229,46.0323931
"1109","Spodnja Kanomlja","IDRIJA",262,14.003773,46.0325445
"1110","Spodnji Vrsnik","IDRIJA",50,14.101619,46.0175569
"1111","Srednja Kanomlja","IDRIJA",163,13.9772719,46.0220859
"1112","Strmec","IDRIJA",23,14.0236453,45.9085368
"1113","Vojsko","IDRIJA",239,13.9038857,46.022603
"1114","Zadlog","IDRIJA",278,14.0031087,45.9406756
"1115","Zavratec","IDRIJA",137,14.131316,45.9910357
"1116","Zirovnica","IDRIJA",28,14.070385,46.0195518
"1117","Rejcov Gric","IDRIJA",14,13.9846167,46.002001
"1118","Razpotje","IDRIJA",67,13.9779102,46.0113312
"1119","Ledinsko Razpotje","IDRIJA",25,14.0505627,46.0283738
"1120","Brest","IG",328,14.4923758,45.9672342
"1121","Dobravica","IG",71,14.541954,45.93861
"1122","Golo","IG",521,14.5462893,45.9113299
"1123","Gornji Ig","IG",29,14.4943894,45.9205678
"1124","Ig","IG",2306,14.5282718,45.9588213
"1125","Iska","IG",254,14.5075402,45.9211864
"1126","Iska Loka","IG",292,14.5151773,45.9712776
"1127","Iska vas","IG",415,14.5114089,45.9406506
"1128","Kot","IG",115,14.5162213,45.9503524
"1129","Kremenica","IG",55,14.5487661,45.9525901
"1130","Matena","IG",257,14.4997118,45.9709507
"1131","Rogatec nad Zelimljami","IG",33,14.5685475,45.8995599
"1132","Sarsko","IG",72,14.5578869,45.9368281
"1133","Selnik","IG",16,14.5602737,45.9036724
"1134","Staje","IG",122,14.5145165,45.9580035
"1135","Strahomer","IG",157,14.488925,45.9432976
"1136","Skrilje","IG",465,14.5389871,45.9186307
"1137","Tomiselj","IG",372,14.4804531,45.9643095
"1138","Visoko","IG",254,14.5756641,45.8850117
"1139","Vrbljene","IG",262,14.490226,45.9518638
"1140","Zapotok","IG",333,14.5721416,45.876304
"1141","Draga","IG",160,14.543784,45.9392615
"1142","Podgozd","IG",113,14.5373271,45.9293716
"1143","Podkraj","IG",132,14.4608905,45.9744569
"1144","Susa","IG",29,14.5599494,45.9130897
"1145","Bac","ILIRSKA BISTRICA",459,14.2577504,45.6332994
"1146","Brce","ILIRSKA BISTRICA",23,14.1888476,45.5739085
"1147","Celje","ILIRSKA BISTRICA",49,14.1540935,45.5916402
"1148","Dobropolje","ILIRSKA BISTRICA",70,14.217813,45.5643061
"1149","Dolenje pri Jelsanah","ILIRSKA BISTRICA",205,14.2669533,45.5059258
"1150","Dolnja Bitnja","ILIRSKA BISTRICA",82,14.1860199,45.6096355
"1151","Dolnji Zemon","ILIRSKA BISTRICA",519,14.259457,45.5468397
"1152","Fabci","ILIRSKA BISTRICA",14,14.3340843,45.4984584
"1153","Gabrk","ILIRSKA BISTRICA",36,14.1150325,45.5825039
"1154","Gornja Bitnja","ILIRSKA BISTRICA",55,14.1898118,45.6039265
"1155","Gornji Zemon","ILIRSKA BISTRICA",117,14.2814429,45.534389
"1156","Harije","ILIRSKA BISTRICA",260,14.1972754,45.5533576
"1157","Hrusica","ILIRSKA BISTRICA",267,14.1213687,45.5404499
"1158","Huje","ILIRSKA BISTRICA",89,14.123744,45.5784648
"1159","Ilirska Bistrica","ILIRSKA BISTRICA",4398,14.2418616,45.570099
"1160","Jablanica","ILIRSKA BISTRICA",154,14.2991743,45.5400325
"1161","Janezevo Brdo","ILIRSKA BISTRICA",27,14.1519449,45.6094283
"1162","Jasen","ILIRSKA BISTRICA",276,14.2629323,45.5581756
"1163","Jelsane","ILIRSKA BISTRICA",313,14.2715973,45.5014663
"1164","Kilovce","ILIRSKA BISTRICA",42,14.1863628,45.6195421
"1165","Knezak","ILIRSKA BISTRICA",466,14.244941,45.6246746
"1166","Koritnice","ILIRSKA BISTRICA",133,14.285403,45.6228093
"1167","Koseze","ILIRSKA BISTRICA",333,14.2377548,45.5524537
"1168","Kutezevo","ILIRSKA BISTRICA",229,14.3308027,45.5313198
"1169","Mala Bukovica","ILIRSKA BISTRICA",162,14.2427727,45.5334581
"1170","Male Loce","ILIRSKA BISTRICA",32,14.1075554,45.5461573
"1171","Merece","ILIRSKA BISTRICA",55,14.2127219,45.603968
"1172","Nova vas pri Jelsanah","ILIRSKA BISTRICA",11,14.2971256,45.5052248
"1173","Novokracine","ILIRSKA BISTRICA",197,14.3087318,45.4927226
"1174","Ostrozno Brdo","ILIRSKA BISTRICA",87,14.126219,45.6197404
"1175","Pavlica","ILIRSKA BISTRICA",12,14.1996678,45.5214362
"1176","Podbeze","ILIRSKA BISTRICA",90,14.1526605,45.5465402
"1177","Podgrad","ILIRSKA BISTRICA",624,14.1459577,45.5237146
"1178","Podgraje","ILIRSKA BISTRICA",249,14.3452998,45.5258901
"1179","Podstenje","ILIRSKA BISTRICA",71,14.2199629,45.5987648
"1180","Podstenjsek","ILIRSKA BISTRICA",11,14.222135,45.6044127
"1181","Podtabor","ILIRSKA BISTRICA",34,14.2283016,45.6050966
"1182","Pregarje","ILIRSKA BISTRICA",193,14.1346024,45.5780022
"1183","Preloze","ILIRSKA BISTRICA",64,14.1323431,45.6023846
"1184","Prem","ILIRSKA BISTRICA",168,14.1832335,45.604804
"1185","Racice","ILIRSKA BISTRICA",157,14.1618864,45.515091
"1186","Ratecevo Brdo","ILIRSKA BISTRICA",41,14.2034915,45.6184597
"1187","Recica","ILIRSKA BISTRICA",84,14.2255501,45.5730723
"1188","Rjavce","ILIRSKA BISTRICA",46,14.1035264,45.5896921
"1189","Sabonje","ILIRSKA BISTRICA",68,14.1824188,45.5348475
"1190","Smrje","ILIRSKA BISTRICA",119,14.1872985,45.5942672
"1191","Sneznik","ILIRSKA BISTRICA",18,14.4189156,45.5711227
"1192","Soze","ILIRSKA BISTRICA",38,14.2039471,45.5375655
"1193","Starod","ILIRSKA BISTRICA",46,14.1952844,45.4994073
"1194","Studena Gora","ILIRSKA BISTRICA",22,14.2093546,45.5255523
"1195","Susak","ILIRSKA BISTRICA",88,14.327254,45.4879586
"1196","Sembije","ILIRSKA BISTRICA",250,14.2362296,45.6039068
"1197","Tominje","ILIRSKA BISTRICA",95,14.1740462,45.5631366
"1198","Topolc","ILIRSKA BISTRICA",316,14.2159366,45.5843222
"1199","Trpcane","ILIRSKA BISTRICA",137,14.3173007,45.5273707
"1200","Velika Bukovica","ILIRSKA BISTRICA",199,14.2246138,45.5450252
"1201","Veliko Brdo","ILIRSKA BISTRICA",90,14.2205582,45.5142824
"1202","Vrbica","ILIRSKA BISTRICA",160,14.2857184,45.5460041
"1203","Vrbovo","ILIRSKA BISTRICA",308,14.2768958,45.5531463
"1204","Zabice","ILIRSKA BISTRICA",289,14.3438251,45.5153091
"1205","Zajelsje","ILIRSKA BISTRICA",56,14.1583393,45.5637439
"1206","Zarecica","ILIRSKA BISTRICA",122,14.2236916,45.558151
"1207","Zarecje","ILIRSKA BISTRICA",150,14.2089953,45.5743702
"1208","Zalci","ILIRSKA BISTRICA",19,14.1830743,45.5464244
"1209","Ambrus","IVANCNA GORICA",256,14.816526,45.8282715
"1210","Artiza vas","IVANCNA GORICA",66,14.8304401,45.9327286
"1211","Bakrc","IVANCNA GORICA",14,14.8482353,45.8098533
"1212","Boga vas","IVANCNA GORICA",19,14.8703557,45.9341739
"1213","Bojanji Vrh","IVANCNA GORICA",80,14.8203357,45.9106539
"1214","Bratnice","IVANCNA GORICA",16,14.9154407,45.9577635
"1215","Breg pri Dobu","IVANCNA GORICA",14,14.8691274,45.9369617
"1216","Breg pri Temenici","IVANCNA GORICA",40,14.8984158,45.9490272
"1217","Breg pri Zagradcu","IVANCNA GORICA",24,14.8581073,45.8579676
"1218","Brezovi Dol","IVANCNA GORICA",156,14.8467972,45.822241
"1219","Bukovica","IVANCNA GORICA",92,14.8587091,45.9778865
"1220","Cagosce","IVANCNA GORICA",102,14.8689187,45.9771768
"1221","Cesnjice pri Zagradcu","IVANCNA GORICA",91,14.8502202,45.861399
"1222","Debece","IVANCNA GORICA",29,14.8122086,45.9964243
"1223","Decja vas pri Zagradcu","IVANCNA GORICA",64,14.8351997,45.8561662
"1224","Dedni Dol","IVANCNA GORICA",142,14.7368857,45.9631482
"1225","Dob pri Sentvidu","IVANCNA GORICA",197,14.860576,45.932421
"1226","Dobrava pri Sticni","IVANCNA GORICA",73,14.8213598,45.9770129
"1227","Dolenja vas pri Temenici","IVANCNA GORICA",20,14.8845731,45.9591166
"1228","Fuzina","IVANCNA GORICA",138,14.8317572,45.8618843
"1229","Gabrje pri Sticni","IVANCNA GORICA",175,14.8075441,45.9601088
"1230","Gabrovcec","IVANCNA GORICA",218,14.7969857,45.8812121
"1231","Gabrovka pri Zagradcu","IVANCNA GORICA",115,14.8408955,45.8712902
"1232","Glogovica","IVANCNA GORICA",153,14.8339153,45.9414875
"1233","Gorenja vas","IVANCNA GORICA",85,14.8073122,45.9180851
"1234","Gorenje Brezovo","IVANCNA GORICA",45,14.7355196,45.9849872
"1235","Gradicek","IVANCNA GORICA",33,14.7678703,45.8883474
"1236","Grintovec","IVANCNA GORICA",97,14.8288616,45.8552147
"1237","Grize","IVANCNA GORICA",16,14.8239685,45.9451703
"1238","Grm","IVANCNA GORICA",41,14.8733776,45.949125
"1239","Hrastov Dol","IVANCNA GORICA",103,14.8598196,45.9072269
"1240","Ivancna Gorica","IVANCNA GORICA",2078,14.7956554,45.9186489
"1241","Kal","IVANCNA GORICA",93,14.8098607,45.8318693
"1242","Kamni Vrh pri Ambrusu","IVANCNA GORICA",34,14.8239862,45.8361819
"1243","Kamno Brdo","IVANCNA GORICA",17,14.7630811,45.9683044
"1244","Kitni Vrh","IVANCNA GORICA",91,14.8374027,45.8781818
"1245","Kriska vas","IVANCNA GORICA",368,14.7378788,45.9417702
"1246","Krka","IVANCNA GORICA",250,14.7811417,45.8824535
"1247","Krska vas","IVANCNA GORICA",143,14.7871474,45.8846958
"1248","Kuzeljevec","IVANCNA GORICA",42,14.8101213,45.8566088
"1249","Laze nad Krko","IVANCNA GORICA",31,14.7908096,45.8584828
"1250","Leskovec","IVANCNA GORICA",100,14.7521278,45.9881314
"1251","Lescevje","IVANCNA GORICA",40,14.7846777,45.9149432
"1252","Lucarjev Kal","IVANCNA GORICA",94,14.8471927,45.8986239
"1253","Mala Dobrava","IVANCNA GORICA",35,14.7787336,45.9514684
"1254","Mala Goricica","IVANCNA GORICA",15,14.8022625,45.9864241
"1255","Male Cesnjice","IVANCNA GORICA",110,14.8409551,45.962046
"1256","Male Dole pri Temenici","IVANCNA GORICA",31,14.9000315,45.9588339
"1257","Male Kompolje","IVANCNA GORICA",19,14.8229991,45.8999593
"1258","Male Lese","IVANCNA GORICA",48,14.8084376,45.8708199
"1259","Male Pece","IVANCNA GORICA",14,14.8469924,45.9194531
"1260","Male Rebrce","IVANCNA GORICA",27,14.8693675,45.8579139
"1261","Male Vrhe","IVANCNA GORICA",24,14.7682223,45.91437
"1262","Mali Kal","IVANCNA GORICA",12,14.8573162,45.9751407
"1263","Mali Korinj","IVANCNA GORICA",55,14.7870681,45.845021
"1264","Malo Crnelo","IVANCNA GORICA",49,14.7974046,45.9221634
"1265","Malo Globoko","IVANCNA GORICA",51,14.8260616,45.8607036
"1266","Malo Hudo","IVANCNA GORICA",164,14.7876265,45.9399021
"1267","Marinca vas","IVANCNA GORICA",117,14.8194219,45.8704934
"1268","Mekinje nad Sticno","IVANCNA GORICA",212,14.8124044,45.9637073
"1269","Metnaj","IVANCNA GORICA",118,14.8053238,45.9799026
"1270","Mevce","IVANCNA GORICA",32,14.7760864,45.9085517
"1271","Mlescevo","IVANCNA GORICA",204,14.8018697,45.9314729
"1272","Mrzlo Polje","IVANCNA GORICA",43,14.8050773,45.9305826
"1273","Muljava","IVANCNA GORICA",391,14.8011982,45.9025934
"1274","Nova vas","IVANCNA GORICA",71,14.7449905,45.9260687
"1275","Obolno","IVANCNA GORICA",9,14.7802766,46.0046875
"1276","Oslica","IVANCNA GORICA",73,14.7896667,45.9096398
"1277","Osredek nad Sticno","IVANCNA GORICA",15,14.7940054,46.0029488
"1278","Pescenik","IVANCNA GORICA",80,14.7238387,45.9516278
"1279","Petrusnja vas","IVANCNA GORICA",234,14.8360679,45.9583735
"1280","Planina","IVANCNA GORICA",4,14.7985803,46.0027763
"1281","Podborst","IVANCNA GORICA",127,14.8698214,45.9226285
"1282","Podbukovje","IVANCNA GORICA",174,14.7860337,45.875612
"1283","Podsmreka pri Visnji Gori","IVANCNA GORICA",35,14.7651658,45.9515721
"1284","Pokojnica","IVANCNA GORICA",48,14.8773055,45.9311605
"1285","Poljane pri Sticni","IVANCNA GORICA",29,14.7764722,45.9918745
"1286","Polje pri Visnji Gori","IVANCNA GORICA",16,14.7607127,45.943999
"1287","Potok pri Muljavi","IVANCNA GORICA",50,14.7933505,45.8996426
"1288","Praproce pri Temenici","IVANCNA GORICA",45,14.8811037,45.9651912
"1289","Primca vas","IVANCNA GORICA",70,14.8218617,45.8186367
"1290","Pristava nad Sticno","IVANCNA GORICA",17,14.8215584,45.9868565
"1291","Pristava pri Visnji Gori","IVANCNA GORICA",37,14.7440075,45.9463348
"1292","Pristavlja vas","IVANCNA GORICA",53,14.8281138,45.9557744
"1293","Pungert","IVANCNA GORICA",30,14.8931064,45.9636235
"1294","Pusti Javor","IVANCNA GORICA",25,14.870018,46.0010104
"1295","Radanja vas","IVANCNA GORICA",59,14.8854533,45.9750389
"1296","Radohova vas","IVANCNA GORICA",201,14.8616962,45.9442705
"1297","Ravni Dol","IVANCNA GORICA",23,14.7525203,45.8928462
"1298","Rdeci Kal","IVANCNA GORICA",54,14.8581647,45.9200487
"1299","Sad","IVANCNA GORICA",48,14.8694038,45.9167941
"1300","Sela pri Dobu","IVANCNA GORICA",33,14.8684886,45.9274785
"1301","Sela pri Sobracah","IVANCNA GORICA",56,14.8823364,45.9943615
"1302","Sela pri Visnji Gori","IVANCNA GORICA",48,14.7732797,45.9777503
"1303","Selo pri Radohovi vasi","IVANCNA GORICA",34,14.8725451,45.9548806
"1304","Sobrace","IVANCNA GORICA",67,14.8758169,45.9887961
"1305","Spodnja Draga","IVANCNA GORICA",131,14.779519,45.9339988
"1306","Spodnje Brezovo","IVANCNA GORICA",151,14.7208649,45.9606987
"1307","Stari trg","IVANCNA GORICA",93,14.756237,45.9572045
"1308","Sticna","IVANCNA GORICA",829,14.8071073,45.956148
"1309","Stranska vas ob Visnjici","IVANCNA GORICA",48,14.788133,45.9358545
"1310","Susica","IVANCNA GORICA",108,14.8229212,45.8920937
"1311","Sentjurje","IVANCNA GORICA",74,14.9080638,45.9510219
"1312","Sentpavel na Dolenjskem","IVANCNA GORICA",127,14.8581862,45.9573371
"1313","Sentvid pri Sticni","IVANCNA GORICA",1014,14.8386368,45.9536011
"1314","Skoflje","IVANCNA GORICA",43,14.873601,45.9381075
"1315","Skrjance","IVANCNA GORICA",57,14.8091896,45.9283581
"1316","Temenica","IVANCNA GORICA",177,14.8875368,45.9685053
"1317","Tolcane","IVANCNA GORICA",44,14.8514956,45.8675153
"1318","Trebez","IVANCNA GORICA",10,14.8172799,45.8876744
"1319","Trebnja Gorica","IVANCNA GORICA",72,14.7761637,45.8891657
"1320","Trnovica","IVANCNA GORICA",25,14.8687163,45.9035218
"1321","Valicna vas","IVANCNA GORICA",83,14.873087,45.8610549
"1322","Velika Dobrava","IVANCNA GORICA",146,14.7734798,45.9566808
"1323","Velike Cesnjice","IVANCNA GORICA",239,14.8451154,45.9648784
"1324","Velike Dole pri Temenici","IVANCNA GORICA",31,14.9047506,45.9558908
"1325","Velike Kompolje","IVANCNA GORICA",47,14.8212434,45.9051021
"1326","Velike Lese","IVANCNA GORICA",124,14.8083185,45.8721028
"1327","Velike Pece","IVANCNA GORICA",103,14.838426,45.9318108
"1328","Velike Rebrce","IVANCNA GORICA",32,14.8650595,45.8597333
"1329","Velike Vrhe","IVANCNA GORICA",45,14.7676595,45.9115621
"1330","Veliki Kal","IVANCNA GORICA",37,14.8374676,45.9694115
"1331","Veliki Korinj","IVANCNA GORICA",33,14.7785586,45.8423587
"1332","Veliko Crnelo","IVANCNA GORICA",79,14.7920481,45.9257424
"1333","Veliko Globoko","IVANCNA GORICA",76,14.8202164,45.8671301
"1334","Videm pri Temenici","IVANCNA GORICA",14,14.8752306,45.9706148
"1335","Vir pri Sticni","IVANCNA GORICA",508,14.8172073,45.9499714
"1336","Visnja Gora","IVANCNA GORICA",1055,14.7439754,45.9549367
"1337","Visnje","IVANCNA GORICA",84,14.8350518,45.8085521
"1338","Vrh pri Sobracah","IVANCNA GORICA",22,14.8828538,45.986401
"1339","Vrh pri Visnji Gori","IVANCNA GORICA",136,14.7423542,45.9684033
"1340","Vrhpolje pri Sentvidu","IVANCNA GORICA",72,14.8190833,45.9361688
"1341","Zaborst pri Sentvidu","IVANCNA GORICA",91,14.8682648,45.9616794
"1342","Zagradec","IVANCNA GORICA",118,14.8340796,45.8601831
"1343","Zavrtace","IVANCNA GORICA",20,14.756842,45.9291618
"1344","Zgornja Draga","IVANCNA GORICA",138,14.7789042,45.9404157
"1345","Znojile pri Krki","IVANCNA GORICA",115,14.786412,45.8894056
"1346","Baredi","IZOLA/ISOLA",148,13.6801171,45.5174095
"1347","Cetore","IZOLA/ISOLA",140,13.6485529,45.5020572
"1348","Dobrava/Dobrava presso Isola","IZOLA/ISOLA",258,13.6272413,45.530621
"1349","Izola/Isola","IZOLA/ISOLA",11235,13.6600802,45.5374048
"1350","Jagodje/Jagodje","IZOLA/ISOLA",2197,13.6380502,45.5203856
"1351","Korte","IZOLA/ISOLA",821,13.6552693,45.4892501
"1352","Malija","IZOLA/ISOLA",496,13.6372953,45.5045246
"1353","Sared","IZOLA/ISOLA",600,13.654784,45.5116249
"1354","Nozed","IZOLA/ISOLA",67,13.6304628,45.496336
"1355","Blejska Dobrava","JESENICE",929,14.0988589,46.4076964
"1356","Hrusica","JESENICE",1626,14.0197219,46.4476799
"1357","Javorniski Rovt","JESENICE",266,14.0878719,46.4535413
"1358","Jesenice","JESENICE",12923,14.0526057,46.4367047
"1359","Kocna","JESENICE",244,14.0807759,46.4152178
"1360","Lipce","JESENICE",226,14.0922109,46.4177105
"1361","Planina pod Golico","JESENICE",283,14.0633191,46.4763861
"1362","Plavski Rovt","JESENICE",79,14.0337506,46.4535292
"1363","Podkocna","JESENICE",59,14.0816953,46.4227222
"1364","Potoki","JESENICE",113,14.1180635,46.416731
"1365","Prihodi","JESENICE",96,14.0416791,46.4527653
"1366","Koroska Bela","JESENICE",2084,14.1008141,46.4282858
"1367","Slovenski Javornik","JESENICE",1930,14.0833019,46.426574
"1368","Bodkovci","JURSINCI",122,15.9932163,46.4932461
"1369","Dragovic","JURSINCI",161,15.9578511,46.4920019
"1370","Gabrnik","JURSINCI",255,15.9552097,46.4713871
"1371","Gradiscak","JURSINCI",40,15.9509063,46.4889742
"1372","Grlinci","JURSINCI",135,15.9449828,46.5019257
"1373","Hlaponci","JURSINCI",261,15.9751969,46.4628915
"1374","Jursinci","JURSINCI",384,15.980923,46.4898651
"1375","Kukava","JURSINCI",205,15.9629032,46.4690318
"1376","Mostje","JURSINCI",25,15.9554167,46.4575152
"1377","Rotman","JURSINCI",157,15.9798722,46.4809244
"1378","Sakusak","JURSINCI",220,15.983829,46.4985823
"1379","Sencak pri Jursincih","JURSINCI",98,16.0038508,46.5061595
"1380","Zagorci","JURSINCI",293,15.9842806,46.5160794
"1381","Bela","KAMNIK",82,14.8625067,46.223011
"1382","Bela Pec","KAMNIK",22,14.7176245,46.2493276
"1383","Bistricica","KAMNIK",273,14.5858925,46.2668251
"1384","Brezje nad Kamnikom","KAMNIK",131,14.6247174,46.2614778
"1385","Brise","KAMNIK",41,14.6446204,46.245513
"1386","Buc","KAMNIK",178,14.7215847,46.2162564
"1387","Cirkuse v Tuhinju","KAMNIK",78,14.7881422,46.2174167
"1388","Cesnjice v Tuhinju","KAMNIK",105,14.81476,46.2249839
"1389","Crna pri Kamniku","KAMNIK",167,14.6259268,46.2655036
"1390","Crni Vrh v Tuhinju","KAMNIK",29,14.8009112,46.2188133
"1391","Gabrovnica","KAMNIK",39,14.7596709,46.1936095
"1392","Godic","KAMNIK",668,14.6092446,46.2536709
"1393","Golice","KAMNIK",134,14.7896695,46.2225954
"1394","Gozd","KAMNIK",149,14.6553932,46.2569233
"1395","Gradisce v Tuhinju","KAMNIK",59,14.7327057,46.2302755
"1396","Hrib pri Kamniku","KAMNIK",61,14.6570739,46.2408199
"1397","Hrusevka","KAMNIK",58,14.7229411,46.2304729
"1398","Jeranovo","KAMNIK",105,14.6091664,46.2395823
"1399","Kalise","KAMNIK",58,14.6847335,46.2646521
"1400","Kamnik","KAMNIK",13768,14.6072968,46.2221964
"1401","Kamniska Bistrica","KAMNIK",22,14.5997849,46.324654
"1402","Klemencevo","KAMNIK",8,14.5616201,46.2831306
"1403","Kostanj","KAMNIK",37,14.7425141,46.2268298
"1404","Kosise","KAMNIK",181,14.594022,46.2402535
"1405","Kregarjevo","KAMNIK",124,14.6014693,46.2648629
"1406","Krivcevo","KAMNIK",127,14.6710373,46.2636549
"1407","Krsic","KAMNIK",35,14.6199361,46.2523235
"1408","Lanise","KAMNIK",94,14.5740376,46.2564478
"1409","Laseno","KAMNIK",29,14.7581903,46.2007184
"1410","Laze v Tuhinju","KAMNIK",273,14.7603627,46.2188899
"1411","Liplje","KAMNIK",26,14.7914168,46.2111119
"1412","Loke v Tuhinju","KAMNIK",258,14.6920779,46.2243361
"1413","Mali Hrib","KAMNIK",72,14.771124,46.2163256
"1414","Mali Rakitovec","KAMNIK",33,14.7769497,46.1976692
"1415","Markovo","KAMNIK",188,14.6756281,46.2398713
"1416","Mekinje","KAMNIK",1628,14.6143428,46.234643
"1417","Motnik","KAMNIK",183,14.8849643,46.214661
"1418","Nevlje","KAMNIK",242,14.6250885,46.231001
"1419","Okrog pri Motniku","KAMNIK",64,14.8321697,46.2273358
"1420","Okroglo","KAMNIK",63,14.5830528,46.2766797
"1421","Osevek","KAMNIK",153,14.6270885,46.2369839
"1422","Pirsevo","KAMNIK",30,14.7076644,46.2232773
"1423","Podbreg","KAMNIK",14,14.7258573,46.235496
"1424","Podgorje","KAMNIK",1017,14.5828358,46.2114798
"1425","Podhruska","KAMNIK",53,14.6728263,46.2260303
"1426","Podjelse","KAMNIK",43,14.6139573,46.2466264
"1427","Podlom","KAMNIK",44,14.6933492,46.2598445
"1428","Podstudenec","KAMNIK",103,14.6487859,46.2632274
